20,3.3399,20,0.8495,20,3.717,20,3.1767,4.9474,20,20,20,20,20,1.5688,20,0
20,3.3082,20,0.8206,2.3895,3.6917,20,3.1579,4.9308,20,20,20,20,20,1.5394,20,0.5
20,3.2446,20,0.763,2.3326,3.641,20,3.1207,20,20,20,20,20,20,1.4808,20,0.5
20,3.2148,20,0.7364,2.3061,3.6174,20,3.1034,20,20,20,20,20,20,1.4536,20,0.5
20,3.1454,20,20,0.6754,3.5627,20,3.0639,20,20,20,20,20,20,1.3907,20,1.5
20,3.1136,20,20,0.6479,3.5377,20,20,3.0461,20,20,20,20,20,1.3621,20,1.5
20,3.0826,20,20,0.6215,3.5133,20,20,3.0287,20,20,20,20,1.3346,20,20,1.5
20,3.0179,20,20,2.1323,0.5678,20,20,2.993,20,20,20,20,1.2777,20,20,3
20,2.9866,20,20,2.1048,0.5425,20,20,2.976,20,20,20,20,1.2504,20,20,3
20,2.9258,20,20,2.0514,0.495,20,20,20,20,20,20,20,1.1989,20,20,4
20,2.8952,20,20,2.0245,0.4721,20,20,20,20,20,20,20,1.1734,20,20,4.5
2.8325,20,20,20,1.9694,3.317,0.4277,20,20,20,20,20,1.1226,20,20,20,6
2.8015,20,20,20,1.9422,3.2925,20,0.4073,20,20,20,20,1.0982,20,20,20,6.5
2.7722,20,20,20,1.9163,3.269,20,0.3888,20,20,20,20,1.0758,20,20,20,7.5
2.7092,20,20,20,1.8603,3.2183,20,20,20,20,20,20,1.0295,20,20,20,-4.5
2.6516,20,20,20,1.8087,3.1712,20,20,20,20,20,0.99,20,20,20,20,-7
2.6215,20,20,20,1.7836,3.1488,20,20,20,20,20,0.9678,20,20,20,20,-7
2.5935,20,20,20,1.7607,3.1286,20,20,20,20,20,0.9469,20,20,20,20,-6.5
2.5367,20,20,20,20,1.7153,3.0885,20,20,20,20,0.9053,20,20,20,20,-6.5
2.4793,20,20,20,20,1.6705,3.049,20,20,20,0.8644,20,20,20,20,20,-6
20,2.451,20,20,20,1.6488,3.0299,20,20,20,0.8447,20,20,20,20,20,-5.5
20,2.4221,20,20,20,1.6271,3.0107,20,20,20,0.825,20,20,20,20,20,-6
20,2.3637,20,20,20,1.5839,2.9726,20,20,20,0.7867,20,20,20,20,20,-6
20,2.3341,20,20,20,20,1.5627,2.9538,20,20,0.7679,20,20,20,20,20,-6
20,2.3054,20,20,20,20,1.5426,2.936,20,20,0.7502,20,20,20,20,20,-6.5
20,2.246,20,20,20,20,1.5023,2.9001,20,0.7152,20,20,20,20,20,20,-6.5
20,2.2175,20,20,20,20,1.4837,2.8835,20,0.6992,20,20,20,20,20,20,-6.5
20,2.1591,20,20,20,20,20,1.4473,20,20,20,20,20,20,20,20,30
