Sensor 1,Sensor 2,Sensor 3,Steering Angle
2.669,1.6282,1.1024,0
2.5708,1.5686,1.0349,0
2.5708,1.5686,1.0349,0
2.5044,1.5307,0.9923,0
2.4386,1.8477,0.9529,0
2.4082,1.8267,0.9357,0
2.3725,1.8023,0.9165,0
2.342,1.7817,1.18,0
2.3062,1.758,1.1512,0
2.2443,1.7181,1.1025,0
2.1772,1.6763,1.0514,0
2.1469,1.658,1.029,0
2.0795,1.6187,0.9808,0
2.0795,1.6187,0.9808,0
1.9868,1.6441,0.9188,0
1.9539,1.616,0.8981,0
1.8928,1.5645,0.8621,0
1.8604,1.5375,0.8442,0
1.8304,1.5127,0.8285,0
1.7696,1.4631,1.4594,0
1.7389,1.4384,1.4398,0
1.6783,1.3904,1.4023,0
1.6485,1.3672,1.3845,0
1.5838,1.3178,1.3474,0
1.5222,1.2723,1.00E+20,0
1.4928,1.251,1.9626,-22
1.4331,1.2091,1.9251,-22
1.4331,1.2091,1.9251,-22
1.8242,1.36,1.8603,-22
1.8242,1.36,1.8603,-22
1.75,1.2991,1.1711,0
1.7284,1.282,1.1573,0
1.7025,1.2605,1.766,-22
1.6474,1.2155,1.7279,-22
1.6227,1.1981,1.7053,-22
1.6004,1.183,1.6845,-22
2.1492,1.1689,1.6637,0
2.1072,1.1463,1.6265,0
2.0634,1.1223,1.5902,0
2.0392,1.1082,1.5723,0
1.9873,1.0791,1.5344,0
1.9606,1.4103,1.5153,0
1.8993,1.356,1.4723,0
1.8701,1.3303,1.4523,0
1.8087,1.2769,1.4114,0
1.7478,1.2248,1.3725,0
1.7478,1.2248,1.3725,0
1.6865,1.1733,1.3351,0
1.656,1.1481,1.3173,0
1.5957,1.0992,1.2835,0
1.5347,1.0512,1.8212,-22
1.5031,1.0268,1.7978,-22
2.0843,1.0105,1.7723,0
2.032,0.9842,1.7235,0
1.9709,0.9484,1.6777,0
1.9399,0.9313,1.6548,0
1.8761,1.2898,1.6087,0
1.8447,1.2618,1.5865,0
1.814,1.2346,1.565,0
1.7534,1.1815,1.5238,0
1.7223,1.1546,1.5032,0
1.6545,1.0967,1.4596,0
1.6224,1.0698,1.4397,0
1.5927,1.0452,1.4217,0
1.5311,0.9953,1.3857,0
1.5311,0.9953,1.3857,0
1.4381,0.9231,1.8706,-22
1.4044,0.8981,1.845,-22
2.2054,0.8706,1.794,0
2.1773,0.8603,1.2607,0
2.1485,1.3087,1.7472,0
2.0869,1.2536,1.7004,0
2.0572,1.2274,1.6783,0
1.9957,1.1736,1.6331,0
1.9653,1.1473,1.6113,0
1.9055,1.0963,1.5691,0
1.8432,1.0444,1.5266,0
1.8432,1.0444,1.5266,0
1.7839,0.9963,1.4875,0
1.7248,0.9499,1.4501,0
1.6957,0.9277,1.4322,0
1.6355,0.8831,1.3966,0
1.6044,0.8609,1.3789,0
1.5755,0.841,1.363,0
1.5445,0.8203,1.3464,0
1.4863,0.7835,1.3121,0
1.4565,0.7659,1.288,0
1.6911,1.2035,1.2401,0
1.6245,1.1637,1.1927,0
1.5931,1.1458,1.171,0
1.5597,1.1275,1.1484,0
1.4979,1.5678,1.1081,22
1.4347,1.5307,1.0691,22
1.4077,1.5088,1.0582,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
1.3581,1.4652,1.1029,22
0.9507,2.681,0.3485,22
0.9139,2.6427,0.3274,22
0.8349,3.6467,0.2942,22
0.7943,3.604,2.2924,0
0.7561,3.5634,2.2729,0
0.6928,3.9078,2.2377,0
0.6679,3.8845,2.2215,0
0.6146,3.8346,2.1874,0
0.5873,3.809,2.1702,0
0.5567,3.3662,2.151,0
0.4929,3.3036,2.1118,0
0.4929,3.3036,2.1118,0
0.3988,3.2091,2.0553,0
0.3988,3.2091,2.0553,0
0.3145,3.1202,2.0052,0
0.8987,3.0574,0.2599,22
0.8685,3.0294,0.2378,22
0.8056,3.393,0.2071,22
0.8056,3.393,0.2071,22
0.7217,3.5713,2.1713,0
0.7217,3.5713,2.1713,0
0.6405,3.4958,2.1322,0
0.6405,3.4958,2.1322,0
0.5571,3.4214,2.471,0
0.5571,3.4214,2.471,0
0.4645,3.3381,2.4047,0
0.4645,3.3381,2.4047,0
0.4036,2.9892,2.3611,0
0.344,2.9263,2.3181,0
0.3175,2.8974,2.2986,0
0.9152,2.8345,0.2637,22
0.9152,2.8345,0.2637,22
0.8122,3.0476,0.2073,22
0.8122,3.0476,0.2073,22
0.7501,2.9839,2.6101,0
0.723,2.9552,2.5952,0
0.6706,2.9014,2.5652,0
0.645,2.876,2.5496,0
0.9324,2.8208,0.5895,22
0.9324,2.8208,0.5895,22
0.8397,2.7346,0.5118,22
0.8397,2.7346,0.5118,22
0.7495,2.6445,0.4516,22
0.7201,3.1091,0.4347,22
0.6927,4.0572,0.4206,22
0.6373,4.0036,2.4241,0
0.6373,4.0036,2.4241,0
0.5633,3.9306,2.3816,0
0.5356,3.903,2.3658,0
0.4841,3.8512,2.3368,0
0.4841,3.8512,2.3368,0
1.4736,3.7583,0.3954,22
1.4736,3.7583,0.3954,22
1.3819,3.6658,0.3263,22
1.3819,3.6658,0.3263,22
1.3261,9.6769,0.2947,22
1.3261,9.6769,0.2947,22
1.6836,9.7817,0.9,22
1.6361,9.8642,0.867,22
1.6145,9.8433,0.8526,22
1.5894,9.9722,0.8365,22
1.8855,10.5731,1.1296,22
1.8855,10.5731,1.1296,22
1.819,10.706,1.0757,22
1.7759,10.6695,1.0423,22
1.7759,10.6695,1.0423,22
1.7356,10.6348,1.0124,22
1.7165,10.8763,0.9988,22
1.6791,11.0128,0.9733,22
1.6791,11.0128,0.9733,22
2.1256,10.9717,1.3224,22
3.0977,10.6136,1.299,22
3.0834,10.0082,1.2887,22
3.0561,9.4131,1.27,22
3.0561,9.4131,1.27,22
3.0323,8.8374,1.5394,22
9.0867,8.2847,1.5217,0
9.0786,8.2796,1.515,0
9.0533,8.2644,1.4941,0
9.088,8.2364,1.4559,0
9.088,8.2364,1.4559,0
9.0063,8.1891,1.3924,0
9.0063,8.1891,1.3924,0
8.9194,8.1393,1.3276,0
8.9194,8.1393,1.3276,0
8.8267,8.0871,1.2623,0
8.8267,8.0871,1.2623,0
8.7632,8.5734,1.2201,0
8.7339,8.5557,1.2014,0
8.6732,8.5193,1.1643,0
8.6431,8.5013,1.1468,0
8.5826,8.4655,1.1136,0
8.5534,8.4482,1.5452,0
8.4884,8.4102,1.5035,0
8.4582,8.3927,1.4848,0
8.3965,8.357,1.4481,0
8.366,8.3396,1.4308,0
8.3361,8.3225,1.4143,0
8.2733,8.287,1.8248,22
8.2443,8.793,1.8065,22
8.2751,8.2304,1.7747,0
8.2751,8.2304,1.7747,0
8.3171,7.6862,2.0597,0
8.2836,7.6673,2.0346,0
8.2242,8.114,1.9907,0
8.2242,8.114,1.9907,0
8.1331,8.0582,1.9256,0
8.1331,8.0582,1.9256,0
8.0406,8.0023,1.8622,0
8.0406,8.0023,1.8622,0
7.9771,7.9643,1.8205,0
7.947,7.9464,1.8013,0
7.8853,7.91,1.763,22
7.8853,7.91,1.763,22
7.9304,7.8514,1.716,0
7.9043,7.3762,2.1731,0
7.8755,7.3598,2.1566,0
7.8416,7.7884,2.1377,0
8.4082,7.7493,2.5746,0
8.3465,7.7117,2.5392,0
8.3175,7.694,2.5229,0
8.257,7.6576,2.4899,0
8.2271,7.6396,2.4739,0
8.2271,7.6396,2.4739,0
8.1368,7.586,5.5827,0
8.1368,7.586,5.5827,0
8.0484,7.5343,5.855,0
8.0157,7.5154,5.8345,0
7.9574,7.4819,5.7984,0
7.8946,7.4462,5.76,0
7.8946,7.4462,5.76,0
7.8327,7.8575,5.7226,22
7.7731,7.8204,5.687,22
7.7731,7.8204,5.687,22
7.823,7.3173,6.0134,0
7.823,7.3173,6.0134,0
7.7706,6.8871,5.9896,0
7.7706,6.8871,5.9896,0
7.6834,7.2224,5.9426,0
7.6487,7.2008,5.9242,0
7.5874,7.163,5.892,0
7.5874,7.163,5.892,0
7.4942,7.1063,6.2263,0
7.4942,7.1063,6.2263,0
7.4015,7.0506,6.1715,0
7.4015,7.0506,6.1715,0
7.3101,6.9965,6.1184,0
7.2771,6.9772,6.0996,0
7.2479,6.9601,6.0829,0
7.2479,6.9601,6.0829,0
7.1229,6.8884,6.013,0
7.1229,6.8884,6.013,0
7.0573,6.8514,5.9771,0
7.0268,6.8344,5.9606,0
6.9645,7.1803,5.9272,22
6.935,7.1619,5.9116,22
6.9019,7.1414,6.2056,22
7.0798,6.7188,6.1747,0
7.0798,6.7188,6.1747,0
7.1405,6.3459,6.1356,0
7.1405,6.3459,6.1356,0
7.0494,6.5983,6.0812,0
7.0168,6.5782,6.062,0
6.9862,6.5594,6.044,0
6.9245,6.5218,6.0044,0
6.8947,6.5038,5.9852,0
6.833,6.4668,5.9456,0
6.8023,6.4486,5.9262,0
6.7686,6.4287,5.9048,0
6.7085,6.3934,5.8671,0
6.6426,6.3552,5.8261,0
6.6105,6.3368,5.8064,0
6.5807,6.3198,5.7882,0
6.5191,6.285,5.7508,0
6.4885,6.2678,5.7324,0
6.4269,6.2337,5.6957,0
6.3932,6.5236,5.6759,22
6.3629,6.5045,5.6568,22
6.3083,6.1619,5.6251,0
6.2849,6.1411,5.6147,0
6.51,6.0863,5.5742,0
6.51,6.0863,5.5742,0
6.4481,6.0488,5.5392,0
6.3889,6.0135,5.5063,0
6.3597,5.9962,5.4903,0
6.3254,5.9761,5.4716,0
6.2663,5.9416,5.4397,0
6.2663,5.9416,5.4397,0
6.178,5.8909,5.674,0
6.178,5.8909,5.674,0
6.086,6.093,5.5992,22
6.086,6.093,5.5992,22
6.3052,5.7794,5.5416,0
6.2817,5.7581,5.5284,0
6.2245,5.7238,5.4878,0
6.2245,5.7238,5.4878,0
6.1582,5.6844,5.441,0
6.1283,5.6668,5.42,0
6.066,5.6305,5.3767,0
6.0308,5.6102,5.3523,0
5.97,5.5755,5.3106,0
5.97,5.5755,5.3106,0
5.8752,5.5225,5.2464,0
5.8752,5.5225,5.2464,0
5.7794,5.665,5.1826,0
5.7794,5.665,5.1826,0
5.7135,5.6227,5.1393,0
5.6534,5.5844,5.1002,0
5.5896,5.5443,5.0592,0
5.5896,5.5443,5.0592,0
5.5284,5.5063,5.0204,0
5.4675,5.4689,4.9823,22
5.4381,5.451,4.9606,22
5.41,5.4253,4.9392,22
5.3952,5.2307,4.9072,0
5.3952,5.2307,4.9072,0
5.325,5.171,4.8618,0
5.2949,5.1527,4.8395,0
5.2398,5.1194,4.7988,0
5.2398,5.1194,4.7988,0
5.1485,5.0653,4.7322,0
5.1188,5.048,4.7107,0
5.0901,5.0313,4.69,0
5.1327,4.9971,4.6474,0
5.1016,5.0846,4.6263,0
5.0367,5.0423,4.5827,22
5.0367,5.0423,4.5827,22
4.9548,4.8867,4.5382,0
4.9548,4.8867,4.5382,0
4.9017,4.8454,4.5121,0
4.8449,4.8111,4.479,0
4.8449,4.8111,4.479,0
4.7511,4.7555,4.4255,22
4.7511,4.7555,4.4255,22
4.8445,4.6929,4.5679,0
4.8445,4.6929,4.5679,0
4.7631,4.633,4.5293,0
4.7313,4.613,4.5108,0
4.7013,4.5942,4.4854,0
4.6383,4.5554,4.4323,0
4.6383,4.5554,4.4323,0
4.5497,4.5017,4.358,0
4.5497,4.5017,4.358,0
4.4869,4.4645,4.3058,0
4.4284,4.4302,4.2574,22
4.3986,4.4103,4.2329,22
4.4311,4.3633,4.1898,0
4.4311,4.3633,4.1898,0
4.3446,4.2962,4.1309,0
4.309,4.2713,4.1053,0
4.2787,4.2502,4.0836,0
4.217,4.2077,4.0329,0
4.1858,4.1864,4.0073,22
4.1242,4.1446,3.9569,22
4.0961,4.1189,3.9375,22
4.0658,4.0892,3.9176,22
4.0169,4.0372,3.888,22
4.2174,3.9837,3.8635,0
4.1879,3.9561,3.853,0
4.1372,3.9143,3.8196,0
4.1372,3.9143,3.8196,0
4.0509,3.8437,3.7636,0
4.0509,3.8437,3.7636,0
3.989,3.7935,3.7243,0
3.989,3.7935,3.7243,0
3.9008,3.7227,3.6694,0
3.8374,3.6723,3.614,0
3.8075,3.6486,3.5855,0
3.746,3.6003,3.527,0
3.746,3.6003,3.527,0
3.7131,3.5747,3.4958,0
3.7144,3.5225,3.4405,0
3.6476,3.4659,3.3813,0
3.6157,3.4394,3.3534,0
3.5502,3.3849,3.2962,0
3.5502,3.3849,3.2962,0
3.4567,3.308,3.2152,0
3.4567,3.308,3.2152,0
3.359,3.2285,3.1313,0
3.3253,3.2013,3.1025,0
3.2935,3.1758,3.0755,0
3.2309,3.1259,3.0225,0
3.2001,3.1014,2.9966,0
3.2001,3.1014,2.9966,0
3.1343,3.0497,2.9415,0
3.0621,2.9936,2.8816,0
2.9939,2.9412,2.8256,0
2.9618,2.9168,2.7994,0
2.9262,2.8899,2.7705,0
2.8616,2.8415,2.7184,0
2.7952,2.7926,2.6655,0
2.7631,2.7692,2.6402,22
2.6957,2.7205,2.5874,22
2.6957,2.7205,2.5874,22
2.6083,2.6379,2.5359,22
2.6083,2.6379,2.5359,22
2.5277,2.5528,2.4973,22
2.5277,2.5528,2.4973,22
2.477,2.4948,2.4775,0
2.477,2.4948,2.4775,0
2.4309,2.4405,2.4322,0
2.3837,2.3989,2.3874,0
2.3321,2.3537,2.3385,0
2.277,2.3059,2.2866,0
2.277,2.3059,2.2866,0
2.19,2.2309,2.2047,0
2.19,2.2309,2.2047,0
2.1265,2.1769,2.1453,0
2.0615,2.122,2.0848,0
2.0308,2.0963,2.0562,0
1.997,2.0682,2.0249,0
1.937,2.0188,1.9696,0
1.937,2.0188,1.9696,0
1.847,1.9459,1.8871,0
1.8137,1.9193,1.8567,0
1.7531,1.8714,1.8018,0
1.7531,1.8714,1.8018,0
1.6904,1.6586,1.7169,-22
1.6904,1.6586,1.7169,-22
1.5993,1.579,1.6345,-22
1.5678,1.5537,1.6054,-22
1.5397,1.5314,1.5795,-22
1.4828,1.4872,1.5271,0
1.4828,1.4872,1.5271,0
1.4056,1.4272,1.4571,0
1.3745,1.4032,1.4293,0
1.3173,1.3599,1.3785,0
1.3173,1.3599,1.3785,0
1.2208,1.2892,1.2941,0
1.19,1.2674,1.2675,0
1.1584,1.2454,1.2404,0
1.0935,1.2017,1.1855,0
1.0617,1.1809,1.159,0
1.0304,1.161,1.1332,0
1.0304,1.161,1.1332,0
0.908,1.0885,1.0351,0
0.8777,2.3959,1.0117,0
0.8468,2.3676,0.9882,0
0.8141,2.3376,0.9638,0
0.7538,2.2824,0.9201,0
0.7189,0.8551,0.8958,0
0.6553,0.7941,0.8534,0
0.6223,0.7625,0.8325,0
0.5613,0.7045,0.7961,0
